CustomerKey,GeographyKey,CustomerLabel,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CustomerType,CompanyName,ETLLoadID,LoadDate,UpdateDate
1,680,11000,,Jon,V,Yang,False,1966-04-08,M,,M,jon24@adventure-works.com,90000,2,0,Bachelors,Professional,1,0,3761 N. 14th St,,1 (11) 500 555-0162,2001-07-22,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
2,692,11001,,Eugene,L,Huang,False,1965-05-14,S,,M,eugene10@adventure-works.com,60000,3,3,Bachelors,Professional,0,1,2243 W St.,,1 (11) 500 555-0110,2001-07-18,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
3,493,11002,,Ruben,,Torres,False,1965-08-12,M,,M,ruben35@adventure-works.com,60000,3,3,Bachelors,Professional,1,1,5844 Linden Land,,1 (11) 500 555-0184,2001-07-10,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
4,519,11003,,Christy,,Zhu,False,1968-02-15,S,,F,christy12@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,1825 Village Pl.,,1 (11) 500 555-0162,2001-07-01,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
5,706,11004,,Elizabeth,,Johnson,False,1968-08-08,S,,F,elizabeth5@adventure-works.com,80000,5,5,Bachelors,Professional,1,4,7553 Harness Circle,,1 (11) 500 555-0131,2001-07-26,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
6,478,11005,,Julio,,Ruiz,False,1965-08-05,S,,M,julio1@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,7305 Humphrey Drive,,1 (11) 500 555-0151,2001-07-02,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
7,509,11006,,Janet,G,Alvarez,False,1965-12-06,S,,F,janet9@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,2612 Berry Dr,,1 (11) 500 555-0184,2001-07-27,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
8,568,11007,,Marco,,Mehta,False,1964-05-09,M,,M,marco14@adventure-works.com,60000,3,3,Bachelors,Professional,1,2,942 Brook Street,,1 (11) 500 555-0126,2001-07-12,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
9,425,11008,,Rob,,Verhoff,False,1964-07-07,S,,F,rob4@adventure-works.com,60000,4,4,Bachelors,Professional,1,3,624 Peabody Road,,1 (11) 500 555-0164,2001-07-28,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
10,492,11009,,Shannon,C,Carlson,False,1964-04-01,S,,M,shannon38@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,3839 Northgate Road,,1 (11) 500 555-0110,2001-07-30,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
